Year,Month,Day,Extent,Missing,Hemisphere
1978,10,26,10.231,0,north
1978,10,28,10.42,0,north
1978,10,30,10.557,0,north
1978,11,1,10.67,0,north
1978,11,3,10.777,0,north
1978,11,5,10.968,0,north
1978,11,7,11.08,0,north
1978,11,9,11.189,0,north
1978,11,11,11.314,0,north
1978,11,13,11.46,0,north
1978,11,15,11.539,0,north
1978,11,17,11.696,0,north
1978,11,19,11.87,0,north
1978,11,21,12.053,0,north
1978,11,23,12.274,0,north
1978,11,25,12.441,0,north
1978,11,27,12.662,0,north
1978,11,29,12.684,0,north
1978,12,1,12.725,0,north
1978,12,3,12.66,0,north
1978,12,5,12.785,0,north
1978,12,7,13.051,0,north
1978,12,9,13.143,0,north
1978,12,11,13.437,0,north
1978,12,13,13.603,0,north
1978,12,15,13.649,0,north
1978,12,17,13.807,0,north
1978,12,19,13.892,0,north
1978,12,21,13.996,0,north
1978,12,23,14.189,0,north
1978,12,25,14.268,0,north
1978,12,27,14.383,0,north
1978,12,29,14.5,0,north
1978,12,31,14.585,0,north
1979,1,2,14.997,0,north
1979,1,4,14.922,0,north
1979,1,6,14.929,0,north
1979,1,8,14.968,0,north
1979,1,10,15.19,0,north
1979,1,12,15.327,0,north
1979,1,14,15.352,0,north
1979,1,16,15.5,0,north
1979,1,18,15.517,0,north
1979,1,20,15.709,0,north
1979,1,22,15.679,0,north
1979,1,24,15.745,0,north
1979,1,26,15.686,0,north
1979,1,28,15.777,0,north
1979,1,30,15.912,0,north
1979,2,1,15.857,0,north
1979,2,3,15.839,0,north
1979,2,5,15.831,0,north
1979,2,7,15.801,0,north
1979,2,9,15.99,0,north
1979,2,11,16.099,0,north
1979,2,13,16.289,0,north
1979,2,15,16.323,0,north
1979,2,17,16.343,0,north
1979,2,19,16.291,0,north
1979,2,21,16.26,0,north
1979,2,23,16.401,0,north
1979,2,25,16.579,0,north
1979,2,27,16.551,0,north
1979,3,1,16.635,0,north
1979,3,3,16.457,0,north
1979,3,5,16.568,0,north
1979,3,7,16.547,0,north
1979,3,9,16.536,0,north
1979,3,11,16.513,0,north
1979,3,13,16.414,0,north
1979,3,15,16.31,0,north
1979,3,17,16.467,0,north
1979,3,19,16.505,0,north
1979,3,21,16.349,0,north
1979,3,23,16.279,0,north
1979,3,25,16.264,0,north
1979,3,27,16.06,0,north
1979,3,29,15.763,0,north
1979,3,31,15.804,0,north
1979,4,2,15.66,0,north
1979,4,4,15.641,0,north
1979,4,6,15.695,0,north
1979,4,8,15.794,0,north
1979,4,10,15.761,0,north
1979,4,12,15.655,0,north
1979,4,14,15.5,0,north
1979,4,16,15.454,0,north
1979,4,18,15.51,0,north
1979,4,20,15.343,0,north
1979,4,22,15.255,0,north
1979,4,24,15.224,0,north
1979,4,26,15.141,0,north
1979,4,28,15.108,0,north
1979,4,30,14.961,0,north
1979,5,2,14.626,0,north
1979,5,4,14.498,0,north
1979,5,6,14.45,0,north
1979,5,8,14.325,0,north
1979,5,10,14.149,0,north
1979,5,12,14.012,0,north
1979,5,14,13.836,0,north
1979,5,16,13.862,0,north
1979,5,18,13.691,0,north
1979,5,20,13.56,0,north
1979,5,22,13.529,0,north
1979,5,24,13.364,0,north
1979,5,26,13.399,0,north
1979,5,28,13.292,0,north
1979,5,30,13.26,0,north
1979,6,1,13.076,0,north
1979,6,3,12.977,0,north
1979,6,5,12.832,0,north
1979,6,7,12.791,0,north
1979,6,9,12.854,0,north
1979,6,11,12.733,0,north
1979,6,13,12.673,0,north
1979,6,15,12.548,0,north
1979,6,17,12.517,0,north
1979,6,19,12.415,0,north
1979,6,21,12.373,0,north
1979,6,23,12.243,0,north
1979,6,25,12.112,0,north
1979,6,27,11.977,0,north
1979,6,29,11.829,0,north
1979,7,1,11.562,0,north
1979,7,3,11.363,0,north
1979,7,5,11.255,0,north
1979,7,7,10.936,0,north
1979,7,9,10.793,0,north
1979,7,11,10.662,0,north
1979,7,13,10.503,0,north
1979,7,15,10.401,0,north
1979,7,17,10.256,0,north
1979,7,19,9.927,0,north
1979,7,21,9.919,0,north
1979,7,23,9.668,0,north
1979,7,25,9.614,0,north
1979,7,27,9.556,0,north
1979,7,29,9.342,0,north
1979,7,31,9.223,0,north
1979,8,2,9,0,north
1979,8,4,8.859,0,north
1979,8,6,8.744,0,north
1979,8,8,8.61,0,north
1979,8,10,8.328,0,north
1979,8,12,8.284,0,north
1979,8,14,8.138,0,north
1979,8,16,7.971,0,north
1979,8,18,7.811,0,north
1979,8,20,7.659,0,north
1979,8,22,7.566,0,north
1979,8,24,7.577,0,north
1979,8,26,7.421,0,north
1979,8,28,7.364,0,north
1979,8,30,7.284,0,north
1979,9,1,7.228,0,north
1979,9,3,7.147,0,north
1979,9,5,7.037,0,north
1979,9,7,7.075,0,north
1979,9,9,7.092,0,north
1979,9,11,6.981,0,north
